well_id,date,depth_m,flow_rate_m3h,ph,iron_mg_l,hardness_meq_l,tds_mg_l
108,2024-07-19,103.4,7.72,6.89,0.42,9.940000000000001,696.5
148,2026-02-03,32.2,5.54,7.61,0.42,6.79,701.5
145,2024-12-03,134.7,5.59,7.2,0.05,10.844999999999999,1020.75
101,2024-02-06,141.9,6.02,7.86,0.34,10.735000000000001,875.75
122,2024-12-30,97.8,4.13,7.76,0.09,10.75,566.5
117,2023-06-11,113.6,6.63,6.88,1.32,9.83,709.0
107,2023-07-21,140.7,5.17,7.67,2.36,11.335,1106.75
125,2025-09-22,114.9,6.43,7.54,0.06,12.995000000000001,776.25
145,2023-09-27,48.3,4.7,5.81,2.48,12.165,121.75
104,2025-03-26,99.2,6.98,7.6,0.59,11.790000000000001,528.0
136,2026-07-18,102.8,5.6,,0.28,7.760000000000001,693.0
106,2024-03-31,80.9,8.27,6.76,0.06,6.645000000000001,857.25
131,2026-06-29,118.4,4.45,6.78,0.56,15.530000000000001,755.0
119,2025-10-13,142.1,5.31,7.13,1.27,11.485,1013.25
144,2023-10-23,141.1,3.45,7.44,0.98,9.795,773.75
139,2024-12-20,84.1,4.21,6.52,0.04,10.995000000000001,415.25
127,2023-12-04,43.6,5.93,7.29,0.06,9.17,535.0
110,2025-05-28,148.2,6.69,7.49,0.41,14.600000000000001,922.5
126,2025-12-12,130.7,9.45,8.13,0.28,10.675,865.75
119,2025-03-02,45.0,,6.66,0.21,4.37,424.5
139,2023-08-05,140.5,3.6,7.03,0.26,16.745,798.25
103,2025-02-02,134.4,6.13,7.33,1.3,10.73,1239.0
145,2023-07-07,92.3,3.31,7.77,2.12,12.025,545.75
113,2024-01-15,101.0,5.85,7.05,0.42,12.700000000000001,851.5
128,2024-05-07,77.9,4.25,7.8,1.89,10.775,379.75
120,2025-11-30,36.6,5.32,6.23,0.31,6.33,721.5
128,2026-03-26,70.2,6.64,6.57,0.52,7.68,541.5
108,2023-01-15,126.3,4.83,7.37,0.2,13.095,875.75
141,2023-03-06,30.6,6.4,6.49,0.82,10.46,382.5
139,2024-06-04,70.0,6.31,6.61,3.09,13.07,719.0
101,2026-02-26,77.8,2.2,6.94,0.74,6.74,558.5
103,2024-10-09,94.5,3.65,7.59,0.35,7.965000000000001,629.25
113,2025-12-22,140.4,2.66,6.25,0.83,16.580000000000002,917.0
128,2026-03-08,71.6,8.0,7.29,0.1,11.469999999999999,614.0
149,2024-08-15,71.6,4.84,7.72,1.76,12.64,736.0
125,2024-01-27,118.5,7.67,7.1,0.56,9.545000000000002,767.25
133,2024-02-23,84.3,2.55,7.02,0.48,10.915,720.75
138,2023-10-16,57.0,4.14,7.4,0.71,10.46,709.5
106,2024-01-14,84.3,6.2,7.1,0.78,11.655000000000001,657.75
144,2023-08-19,46.9,,7.9,0.06,7.615,468.25
145,2025-10-14,51.2,5.8,6.64,0.92,4.680000000000001,548.0
132,2023-02-10,89.8,3.12,7.17,0.22,11.15,903.5
145,2025-11-17,80.3,7.07,7.3,1.0,8.035,717.75
147,2023-05-15,139.8,6.17,7.01,1.38,12.59,722.5
121,2023-07-20,73.5,5.6,5.76,1.3,13.335,743.75
116,2025-02-18,99.7,3.97,7.12,0.64,10.175,819.25
121,2025-07-18,105.9,5.49,7.65,0.59,14.015,842.75
111,2025-11-22,31.6,4.56,7.59,0.12,5.09,432.0
137,2025-12-07,109.6,2.52,,1.19,12.86,672.0
136,2024-05-17,51.4,4.92,6.65,0.25,12.39,526.5
135,2024-02-11,145.3,4.76,7.4,0.55,10.085,809.25
119,2025-03-15,47.8,6.59,6.91,0.27,4.46,700.5
120,2023-04-09,79.8,1.65,7.38,0.11,9.46,743.5
118,2024-11-14,40.2,5.35,7.26,0.79,4.75,656.5
147,2024-12-26,149.6,3.27,6.71,0.04,15.47,1077.0
141,2025-08-18,90.3,5.48,6.75,1.1,13.835,828.75
149,2024-09-04,101.4,5.56,7.38,0.31,10.54,732.5
114,2024-10-04,38.0,,7.09,0.0,5.970000000000001,417.0
115,2025-10-25,120.0,6.21,6.78,,11.48,693.0
131,2026-05-26,55.2,3.13,6.74,0.04,10.55,599.0
101,2024-05-17,137.8,6.66,7.05,0.26,8.96,968.5
103,2025-02-05,54.6,3.94,7.98,,,632.5
116,2024-02-02,52.9,2.67,6.94,0.05,9.555,534.25
123,2025-05-20,34.4,4.59,7.19,1.46,8.82,476.0
111,2025-03-05,86.6,1.86,7.25,0.0,8.27,706.5
112,2024-01-28,97.8,5.38,,0.23,12.600000000000001,877.5
110,2023-07-26,37.9,4.61,6.32,1.08,4.625,833.75
132,2025-11-04,123.1,6.85,6.69,0.3,9.745000000000001,776.75
116,2025-06-10,84.4,5.97,7.32,0.09,13.24,704.0
108,2025-05-13,92.9,2.91,7.24,0.36,12.555,550.25
138,2025-01-12,82.9,3.74,,0.25,6.255000000000001,998.25
112,2026-06-18,78.1,5.78,7.25,1.48,7.895,485.25
124,2024-07-17,97.2,6.27,7.15,0.3,8.58,919.0
128,2025-10-17,48.6,6.83,6.9,1.24,6.6,566.5
108,2023-04-06,51.8,6.82,7.64,1.78,6.57,539.5
128,2024-04-29,133.4,4.87,6.74,0.46,9.170000000000002,666.5
136,2023-08-19,143.5,5.54,6.64,1.93,12.845,1220.75
126,2025-01-18,74.8,6.95,7.48,0.38,11.600000000000001,720.0
108,2026-04-09,62.5,4.55,6.53,2.66,9.975,659.25
128,2024-06-24,107.3,5.57,,0.07,12.745000000000001,901.25
128,2025-11-25,79.0,4.51,7.24,0.93,6.6,599.5
137,2024-06-08,33.0,4.17,7.37,0.54,11.26,582.5
141,2026-03-29,48.7,5.07,6.8,0.39,11.145000000000001,629.75
136,2026-06-20,115.9,3.97,7.04,0.8,14.235,712.75
127,2026-01-14,109.1,4.8,6.99,0.97,14.035,952.75
117,2024-07-31,33.3,3.45,6.93,0.0,11.125,550.25
109,2024-11-12,56.6,4.72,7.52,0.15,9.18,408.5
133,2024-07-10,57.7,5.67,6.98,1.0,6.485,599.25
120,2025-10-09,110.6,4.12,7.71,0.88,12.46,813.5
113,2024-10-07,32.4,5.01,8.53,2.71,9.56,447.0
128,2025-03-06,42.5,5.21,7.05,1.15,10.025,484.25
148,2025-11-17,126.0,5.68,7.28,2.41,12.47,733.0
129,2026-06-08,51.4,4.8,7.39,0.97,5.12,811.5
113,2023-07-09,108.3,6.63,,0.28,10.385,697.75
146,2026-06-02,58.6,1.85,7.16,0.09,12.299999999999999,860.5
135,2024-09-24,41.9,9.41,6.79,1.22,8.775,512.75
106,2024-09-19,59.2,3.69,6.57,0.83,9.27,697.0
118,2025-08-30,116.7,5.61,7.17,0.04,,724.75
105,2026-07-06,132.7,3.59,6.98,0.36,11.585,944.75
147,2024-12-10,129.6,5.97,,2.51,15.64,656.0
125,2024-10-10,77.7,5.41,8.08,0.56,11.215,805.25
102,2023-11-14,110.2,4.02,6.68,0.45,13.810000000000002,792.5
110,2026-06-02,54.6,6.61,6.84,0.49,8.36,540.5
130,2026-06-11,65.2,4.75,7.24,0.19,10.3,638.0
145,2024-11-14,137.6,5.82,7.9,0.37,10.870000000000001,1074.0
105,2024-10-25,31.6,3.62,7.23,0.37,9.219999999999999,600.0
133,2026-06-10,40.3,4.95,6.88,0.04,7.4350000000000005,495.75
101,2026-02-10,54.9,8.01,7.17,1.17,,456.25
118,2024-03-17,33.2,6.44,6.89,0.43,8.850000000000001,659.0
132,2024-07-17,51.8,5.46,7.5,1.38,12.08,658.5
147,2026-07-15,100.0,4.33,6.85,1.52,7.51,854.0
149,2026-02-10,80.6,5.1,6.94,0.19,12.629999999999999,482.5
111,2025-08-09,137.1,5.3,7.78,0.86,11.195,666.75
121,2026-01-09,128.1,5.67,6.82,0.51,11.955,992.25
126,2024-11-29,71.0,3.39,6.48,1.7,5.73,727.5
125,2023-04-23,61.1,6.0,7.25,,7.465,732.75
122,2023-01-02,75.6,3.37,7.02,,9.799999999999999,545.0
127,2024-10-03,100.8,7.45,7.46,0.75,7.49,605.0
149,2023-08-08,62.2,3.84,7.36,0.28,9.04,804.5
113,2025-05-04,104.9,5.44,7.18,0.12,14.665000000000001,918.25
133,2026-06-02,79.1,6.51,7.17,0.84,6.795,534.75
134,2024-01-20,96.2,4.62,6.83,1.07,12.93,548.5
141,2026-02-27,82.3,5.51,7.24,,9.395,689.75
135,2025-12-12,65.3,7.15,7.64,0.83,10.505,543.25
101,2024-12-30,143.8,5.85,6.71,,11.270000000000001,736.5
121,2023-09-04,121.6,5.53,7.2,1.0,9.36,616.0
148,2025-04-15,46.8,2.47,7.72,0.18,5.619999999999999,547.0
106,2023-07-22,134.2,3.6,7.45,1.77,9.27,662.5
128,2026-04-22,88.5,6.57,7.85,0.27,7.915,557.25
117,2023-05-03,137.3,5.85,6.92,0.37,14.175,888.25
105,2024-02-05,126.0,6.08,6.28,0.05,15.350000000000001,807.0
131,2025-02-05,81.0,5.95,7.3,0.09,12.559999999999999,775.5
105,2023-10-21,32.7,6.93,7.38,0.58,9.115,334.75
138,2023-10-07,62.2,4.61,7.88,0.25,5.99,656.5
103,2025-06-02,95.0,5.18,7.79,1.44,9.059999999999999,1048.5
123,2023-07-17,106.0,3.46,,0.01,9.780000000000001,709.0
137,2025-09-08,60.9,3.08,7.58,0.38,7.045,776.25
137,2025-01-21,46.7,2.53,7.1,0.33,8.455,738.75
110,2023-05-24,130.2,3.67,6.59,0.02,12.79,955.5
110,2024-08-31,148.1,7.33,7.26,0.11,12.265,895.25
119,2026-05-09,93.1,,7.69,0.43,9.485,817.75
117,2026-02-21,50.6,4.54,7.53,0.54,11.16,731.5
121,2023-07-06,62.7,3.06,7.62,0.41,11.445,751.75
114,2024-04-08,32.2,4.1,6.99,0.61,6.07,412.5
109,2024-10-21,139.7,5.25,7.07,0.72,16.295,593.25
146,2025-02-02,44.1,3.95,7.44,0.01,11.825,377.25
101,2025-08-12,99.2,6.63,6.93,0.5,9.57,707.0
145,2024-02-07,62.9,7.3,6.94,2.65,7.984999999999999,746.25
113,2023-05-27,96.5,1.63,7.35,0.59,10.875,575.25
104,2026-03-17,108.2,,7.58,0.91,14.94,909.5
101,2025-05-13,129.6,5.09,7.1,0.3,15.49,749.0
149,2024-05-03,54.8,6.69,6.62,1.19,5.5600000000000005,563.0
140,2025-07-17,31.3,4.32,6.83,1.19,6.705,453.25
132,2024-07-04,46.4,4.97,7.3,0.59,8.75,333.0
134,2023-12-04,138.0,3.26,7.3,2.98,12.93,879.0
128,2025-05-21,134.9,2.7,7.32,0.11,10.295000000000002,1094.25
131,2024-10-02,101.7,7.17,7.46,0.01,13.955,745.25
108,2024-04-17,102.1,2.26,7.2,1.18,12.525,477.25
139,2023-05-31,109.8,8.49,7.33,1.32,14.19,891.5
126,2023-09-20,51.0,6.09,7.18,0.1,11.42,383.5
134,2023-05-24,139.7,6.02,7.77,0.25,14.975,668.25
103,2023-12-12,80.3,5.86,,0.01,9.524999999999999,664.75
112,2024-09-15,76.0,4.62,6.61,,10.68,708.0
101,2025-10-13,92.3,5.59,7.07,1.19,7.895,579.75
144,2025-05-30,35.6,,7.22,0.58,9.17,547.0
105,2023-01-02,50.0,5.83,7.07,0.34,5.93,732.0
130,2025-06-15,118.6,4.95,,0.37,,924.5
130,2023-09-11,39.9,3.57,7.31,0.0,5.835,787.75
117,2024-03-28,102.4,3.69,6.8,0.29,8.06,1042.0
148,2025-11-26,59.4,3.52,7.5,,6.29,769.5
147,2026-03-29,76.7,6.46,7.34,2.93,5.855,658.75
123,2025-10-11,64.6,4.07,7.35,1.5,10.98,790.5
115,2023-01-09,72.7,2.13,8.1,0.02,11.495000000000001,751.75
137,2026-06-10,116.3,5.6,7.38,1.83,11.935,866.75
121,2026-01-27,65.7,7.27,7.05,1.22,6.575,691.25
114,2025-03-26,98.0,6.16,6.22,1.21,7.57,608.0
102,2023-07-27,87.1,4.1,7.12,0.49,6.504999999999999,563.75
111,2026-02-28,109.6,2.62,7.85,0.41,8.81,759.0
139,2024-02-08,142.4,4.8,7.15,0.29,16.25,878.0
138,2023-06-01,117.9,4.76,6.08,0.05,9.825000000000001,692.75
134,2023-02-23,55.8,3.55,6.95,0.21,,703.5
138,2026-02-17,33.7,5.83,7.7,0.23,,896.25
134,2024-09-19,61.5,7.77,7.47,0.53,6.855,391.75
118,2024-08-09,101.4,5.33,6.78,1.1,11.22,840.5
130,2023-04-14,36.2,5.24,6.92,0.51,8.67,580.5
115,2023-09-11,89.6,3.59,6.99,0.05,,792.0
127,2026-06-04,101.6,7.1,6.87,2.53,7.54,689.0
134,2026-02-09,70.1,4.89,6.19,2.29,8.635,653.25
138,2024-05-24,122.5,4.13,7.58,1.23,9.995000000000001,825.25
133,2023-04-09,42.8,5.1,7.83,3.8,5.9,562.0
124,2023-06-02,39.0,5.71,6.44,0.63,11.629999999999999,369.5
115,2025-07-02,117.4,5.21,7.82,2.63,12.8,758.5
130,2025-05-27,89.5,6.81,7.15,0.06,10.935,511.75
142,2023-12-04,112.6,5.58,7.81,0.36,10.96,879.5
117,2025-04-01,82.2,4.57,7.22,0.2,9.54,425.5
105,2026-04-01,59.6,5.6,7.27,0.17,9.31,803.0
129,2025-08-14,128.3,5.75,7.39,0.12,13.985000000000001,884.75
104,2023-06-10,125.9,3.06,6.8,0.78,13.915000000000001,879.75
110,2025-03-11,113.4,6.72,7.8,1.22,9.040000000000001,458.5
117,2024-02-02,62.7,4.55,6.64,0.69,9.135,607.75
110,2025-03-26,100.8,4.59,7.0,0.13,10.34,925.0
117,2026-03-04,73.3,6.13,7.46,1.33,12.625,605.25
120,2026-05-03,41.0,6.12,6.95,0.81,9.1,440.5
124,2024-02-05,140.1,3.95,7.59,0.39,13.265,754.25
105,2024-10-01,46.4,6.2,7.89,0.9,5.24,606.0
134,2025-11-22,144.0,4.16,7.71,0.24,14.05,732.0
106,2024-11-18,83.5,7.73,6.23,,7.115,893.75
102,2024-04-04,52.2,3.76,7.26,2.0,7.3100000000000005,620.5
113,2025-08-12,95.0,5.36,7.71,0.27,7.890000000000001,654.5
143,2024-04-14,134.8,3.83,6.54,0.51,14.280000000000001,642.0
143,2025-11-11,117.9,,7.56,1.77,9.545,867.75
148,2025-01-19,126.8,3.14,,0.98,11.469999999999999,886.0
111,2023-02-07,109.1,,6.59,0.05,14.625,653.75
147,2023-08-18,113.1,3.9,7.62,0.13,9.285,447.75
123,2024-07-16,131.9,4.47,7.34,0.01,12.655000000000001,891.75
116,2024-03-13,60.0,5.68,7.53,0.8,8.35,622.0
131,2023-01-27,88.7,,6.72,0.47,6.575000000000001,771.75
111,2023-08-14,56.5,7.44,7.28,0.12,11.165,935.25
116,2025-03-08,148.5,2.69,6.35,2.53,9.975000000000001,867.25
108,2023-10-11,143.3,5.4,6.06,0.6,12.955000000000002,781.25
104,2025-05-28,34.7,7.19,7.27,0.22,8.225000000000001,414.75
140,2025-08-17,114.7,2.47,7.75,0.56,12.765,739.75
104,2024-03-28,141.0,5.47,7.33,0.91,14.56,876.5
125,2025-10-16,51.7,5.0,,0.06,6.615,637.25
103,2025-03-26,98.2,5.62,7.11,0.26,6.99,1004.5
132,2024-10-20,139.9,3.84,6.73,1.32,14.785,924.75
103,2024-06-30,34.1,2.85,7.09,0.49,7.995,565.25
127,2026-04-30,113.7,2.13,7.41,0.63,14.375,678.25
129,2025-12-08,65.7,6.46,6.98,0.45,11.855,704.25
132,2023-01-17,140.9,6.66,7.58,0.04,15.795000000000002,716.25
119,2026-04-10,146.5,5.45,7.3,0.14,13.205,893.25
121,2026-05-28,143.3,4.2,7.36,0.47,11.835,931.25
105,2023-06-07,86.9,2.57,7.64,0.19,12.675,685.25
118,2024-04-21,133.4,5.85,6.94,0.04,12.280000000000001,738.5
128,2025-12-05,131.3,,7.53,1.48,10.035000000000002,500.25
142,2024-06-01,68.3,3.93,7.01,3.18,12.254999999999999,842.75
122,2023-04-09,129.5,4.12,7.37,1.26,15.535,883.75
121,2025-11-26,34.4,4.7,6.88,,7.45,650.0
106,2023-10-07,101.6,3.86,6.74,0.22,7.6899999999999995,520.0
101,2024-05-11,57.6,5.05,7.25,2.59,7.98,851.0
105,2023-10-29,44.5,,6.26,0.18,10.655,541.25
141,2023-06-30,39.2,6.05,7.05,2.42,11.170000000000002,555.0
112,2024-08-29,113.6,6.55,6.4,4.21,9.309999999999999,624.0
126,2026-01-27,70.8,5.16,7.59,1.0,6.08,409.0
146,2024-11-30,117.0,5.69,7.73,3.18,14.870000000000001,966.5
134,2025-09-19,37.8,8.18,6.77,0.67,7.01,787.5
149,2026-02-13,67.8,3.24,7.41,0.24,9.72,644.5
114,2023-07-10,94.7,3.15,,0.46,14.475000000000001,634.75
126,2023-09-10,124.9,6.04,7.65,0.72,8.775,755.25
145,2025-09-07,68.3,7.92,7.31,0.06,10.605,618.75
127,2025-07-16,105.1,4.61,7.57,0.78,7.845,582.75
109,2026-03-30,136.3,7.59,6.88,3.18,11.815000000000001,796.75
126,2026-07-03,103.9,5.14,7.24,0.17,13.625,782.75
147,2023-05-08,58.0,3.98,6.97,1.26,8.370000000000001,798.0
122,2023-01-18,32.9,3.51,6.83,1.91,11.625,584.25
147,2024-07-19,134.4,5.94,7.22,2.3,13.190000000000001,600.0
130,2024-07-23,32.6,3.63,7.37,2.58,6.2,634.5
143,2024-11-16,135.0,5.12,7.78,0.59,10.51,799.5
148,2024-09-17,93.5,7.38,7.33,3.03,9.475,939.75
117,2025-05-03,142.7,4.54,7.52,1.13,12.115,1070.75
126,2025-08-19,125.9,6.97,7.53,0.14,8.845,1034.75
136,2023-06-04,149.8,3.18,8.54,,12.450000000000001,790.5
101,2024-05-04,72.1,4.2,6.29,1.01,9.315,978.25
108,2025-02-23,122.1,2.89,6.86,0.23,13.885000000000002,858.25
149,2026-02-01,78.2,5.11,7.94,0.82,11.16,939.5
135,2023-09-03,87.6,6.17,7.02,0.88,,644.0
115,2026-04-14,105.3,5.11,7.64,0.14,7.335000000000001,718.25
147,2025-11-28,134.8,6.84,7.32,0.67,10.48,878.0
122,2025-01-28,148.1,3.88,8.25,1.18,14.695,893.25
114,2024-06-21,122.2,5.34,6.64,0.55,11.98,993.5
126,2025-07-09,80.1,4.21,7.81,0.01,,665.25
128,2024-02-12,80.6,5.54,8.07,0.01,12.469999999999999,876.5
123,2024-06-08,118.5,5.76,6.69,0.35,14.105,906.25
114,2025-04-07,58.7,5.87,7.59,2.09,9.325,614.75
124,2025-06-21,43.3,3.39,6.72,0.21,4.695,706.25
102,2023-02-05,72.6,3.67,7.22,0.8,11.760000000000002,610.5
145,2024-11-15,64.5,3.94,7.07,0.2,9.895,1014.25
126,2023-01-20,65.6,4.64,6.0,0.31,,264.0
114,2023-11-17,58.0,5.13,7.41,1.51,10.91,746.0
107,2024-05-26,35.1,6.06,7.27,1.04,10.175,322.75
103,2024-02-04,32.1,3.73,7.94,0.08,7.745,546.25
147,2024-10-15,148.5,2.6,7.51,0.45,10.545000000000002,858.25
123,2025-08-29,81.3,8.23,8.35,0.02,11.435,929.25
146,2024-04-15,76.1,3.3,7.25,0.52,10.765,586.25
143,2026-03-12,111.6,6.25,7.15,0.87,13.52,975.0
147,2026-01-20,56.2,5.05,7.11,0.1,6.17,463.5
145,2025-04-13,144.0,5.38,6.98,0.27,10.76,1062.0
118,2024-12-27,124.4,5.0,6.1,0.41,15.34,740.0
138,2025-05-03,40.7,4.42,7.09,2.02,10.035,612.75
135,2023-02-20,80.1,5.7,6.17,4.0,13.274999999999999,650.25
115,2024-07-28,135.5,4.34,7.43,0.04,14.845,1030.75
125,2026-04-28,143.4,6.75,6.58,1.15,13.950000000000001,1021.5
137,2026-02-22,86.1,5.85,6.75,0.37,11.535,782.25
128,2023-05-30,103.6,5.9,6.87,0.4,14.29,586.0
110,2023-11-10,50.0,4.24,7.1,1.12,9.129999999999999,518.0
139,2024-07-23,148.9,4.65,7.2,2.0,14.504999999999999,718.25
117,2023-11-01,57.8,3.22,7.74,2.41,6.140000000000001,307.5
139,2024-11-12,143.1,4.47,6.91,,12.945,1046.75
122,2025-04-17,108.0,3.45,7.44,0.35,13.13,721.0
126,2025-12-13,102.9,6.97,8.57,1.24,,706.25
144,2025-09-29,91.5,5.08,7.39,0.23,8.195,952.75
125,2024-03-19,57.7,5.26,,0.66,7.395,573.25
117,2024-09-04,51.2,4.66,,0.36,6.49,502.0
113,2025-09-19,56.5,5.3,7.1,0.86,6.545,607.25
120,2023-09-21,52.4,8.7,6.76,0.22,,461.0
125,2025-12-12,123.6,4.55,7.33,0.17,15.44,861.0
104,2025-09-30,72.0,4.02,7.25,2.0,,624.0
110,2023-01-05,36.9,5.79,6.12,0.09,5.345,516.25
103,2026-01-31,146.3,1.21,7.19,0.56,,776.75
141,2026-05-04,136.1,,7.74,0.2,14.375,824.25
145,2025-02-12,141.3,4.44,7.0,0.03,12.125,866.25
118,2025-05-26,149.4,3.51,6.87,0.03,16.04,795.5
147,2025-09-18,50.9,5.76,6.51,0.15,9.825,573.25
136,2025-06-02,77.5,5.08,6.27,1.61,,681.75
147,2023-02-16,121.0,2.3,7.62,0.27,10.23,775.5
122,2025-05-16,113.5,4.03,7.11,2.4,13.215,788.75
134,2025-04-02,48.5,0.67,7.59,0.7,6.535,519.25
147,2025-07-24,127.9,5.44,7.97,0.46,15.905000000000001,970.75
108,2024-10-17,56.9,5.42,7.66,0.69,9.935,657.25
140,2023-09-26,56.9,3.81,6.93,0.58,7.445,566.25
149,2024-01-05,94.4,5.81,7.27,1.14,8.88,788.0
144,2024-09-27,101.2,3.08,6.89,0.27,8.59,742.0
119,2026-02-03,99.6,3.55,6.85,0.35,12.54,489.0
142,2024-10-18,41.0,5.63,7.37,1.8,5.800000000000001,653.5
141,2023-04-30,135.3,3.97,6.78,2.34,13.525,685.25
137,2025-04-10,61.9,4.91,6.1,1.78,7.215,794.75
106,2025-12-17,45.5,,6.76,0.44,9.575,577.75
126,2025-01-10,136.6,4.38,7.05,1.21,15.35,958.5
134,2023-04-27,144.7,4.45,7.96,0.52,15.455,766.75
145,2025-03-01,133.5,3.94,6.95,0.55,14.765,843.75
106,2026-02-24,127.1,,7.46,0.18,9.855,999.75
137,2025-10-09,108.6,4.06,7.12,0.72,8.14,731.5
133,2025-12-17,96.1,5.02,7.81,0.16,12.395,651.25
122,2024-09-25,40.4,3.91,7.78,0.32,6.970000000000001,699.0
121,2024-05-27,79.0,2.7,7.79,1.54,9.41,792.5
106,2025-03-12,74.7,6.37,6.33,0.19,5.985,604.75
106,2026-01-24,61.2,5.75,7.3,0.06,7.140000000000001,355.0
148,2026-02-15,116.8,8.43,7.58,0.06,8.11,700.0
104,2024-07-13,89.5,3.43,7.39,2.26,13.504999999999999,825.75
130,2024-05-02,39.7,4.69,,0.57,5.9350000000000005,483.25
111,2026-06-14,56.4,4.81,7.23,0.42,9.280000000000001,639.0
130,2025-06-15,112.0,6.48,6.83,1.33,7.91,681.0
131,2026-07-19,39.1,,6.35,1.45,9.285,307.75
124,2026-04-27,132.1,3.24,6.88,0.32,11.185,729.25
109,2024-12-04,89.4,6.81,8.54,0.95,13.65,824.5
103,2024-08-03,87.7,4.53,6.96,1.18,13.485,363.25
131,2025-02-28,101.1,6.32,6.22,0.85,9.655,790.75
140,2025-05-10,129.0,6.14,7.57,0.13,15.66,644.5
137,2023-09-04,71.7,4.96,7.63,,13.555000000000001,770.25
136,2026-01-04,111.4,4.74,7.84,0.62,14.17,885.5
124,2023-06-03,97.9,4.41,7.44,0.27,13.655000000000001,718.75
